device: cuda  phi: t2_hybrid_tau05_fixed
steps=6000  batch=256  lr=0.0003  lr_min=0.0003  tau=0.05  lam_id=0.4  lam_orth=0.1  eval_every=100  warm_start=True  ortho_mode=corr  queue_n=0  hybrid=True
  warm-started D from train image-space probe
  loaded frozen CLIP text axes (text->image bridge will train)
  ortho_reg: correlation-aware (I2)
step   100 | lr 3.00e-04 | loss 6.191 (nce 6.074 id 0.283 orth 0.041 gate -0.007) | R@1 0.056 R@5 0.168 R@10 0.247
step   200 | lr 3.00e-04 | loss 5.978 (nce 5.845 id 0.327 orth 0.024 gate -0.006) | R@1 0.054 R@5 0.173 R@10 0.272
step   300 | lr 3.00e-04 | loss 5.950 (nce 5.811 id 0.344 orth 0.016 gate -0.006) | R@1 0.068 R@5 0.184 R@10 0.283
step   400 | lr 3.00e-04 | loss 6.003 (nce 5.857 id 0.363 orth 0.011 gate -0.004) | R@1 0.066 R@5 0.192 R@10 0.280
step   500 | lr 3.00e-04 | loss 5.859 (nce 5.717 id 0.355 orth 0.009 gate -0.007) | R@1 0.060 R@5 0.181 R@10 0.270
step   600 | lr 3.00e-04 | loss 5.880 (nce 5.736 id 0.356 orth 0.008 gate -0.007) | R@1 0.054 R@5 0.184 R@10 0.279
step   700 | lr 3.00e-04 | loss 6.025 (nce 5.882 id 0.355 orth 0.007 gate -0.007) | R@1 0.058 R@5 0.183 R@10 0.282
step   800 | lr 3.00e-04 | loss 5.896 (nce 5.747 id 0.370 orth 0.006 gate -0.004) | R@1 0.063 R@5 0.197 R@10 0.293
step   900 | lr 3.00e-04 | loss 5.720 (nce 5.574 id 0.362 orth 0.006 gate -0.004) | R@1 0.065 R@5 0.204 R@10 0.298
step  1000 | lr 3.00e-04 | loss 5.844 (nce 5.692 id 0.377 orth 0.006 gate -0.006) | R@1 0.056 R@5 0.184 R@10 0.281
step  1100 | lr 3.00e-04 | loss 5.850 (nce 5.708 id 0.354 orth 0.007 gate -0.008) | R@1 0.058 R@5 0.198 R@10 0.298
step  1200 | lr 3.00e-04 | loss 5.749 (nce 5.600 id 0.371 orth 0.007 gate -0.004) | R@1 0.061 R@5 0.211 R@10 0.307
step  1300 | lr 3.00e-04 | loss 5.628 (nce 5.472 id 0.388 orth 0.007 gate -0.009) | R@1 0.063 R@5 0.211 R@10 0.308
step  1400 | lr 3.00e-04 | loss 5.772 (nce 5.618 id 0.382 orth 0.007 gate -0.006) | R@1 0.065 R@5 0.212 R@10 0.316
step  1500 | lr 3.00e-04 | loss 5.761 (nce 5.605 id 0.389 orth 0.007 gate -0.010) | R@1 0.077 R@5 0.226 R@10 0.329
step  1600 | lr 3.00e-04 | loss 5.685 (nce 5.519 id 0.415 orth 0.007 gate -0.006) | R@1 0.069 R@5 0.217 R@10 0.319
step  1700 | lr 3.00e-04 | loss 5.711 (nce 5.538 id 0.430 orth 0.008 gate -0.005) | R@1 0.074 R@5 0.219 R@10 0.326
step  1800 | lr 3.00e-04 | loss 5.744 (nce 5.593 id 0.377 orth 0.008 gate -0.009) | R@1 0.075 R@5 0.219 R@10 0.322
step  1900 | lr 3.00e-04 | loss 5.658 (nce 5.492 id 0.413 orth 0.008 gate -0.007) | R@1 0.071 R@5 0.217 R@10 0.320
step  2000 | lr 3.00e-04 | loss 5.660 (nce 5.498 id 0.403 orth 0.008 gate -0.005) | R@1 0.071 R@5 0.212 R@10 0.319
step  2100 | lr 3.00e-04 | loss 5.699 (nce 5.532 id 0.416 orth 0.008 gate -0.006) | R@1 0.073 R@5 0.216 R@10 0.330
step  2200 | lr 3.00e-04 | loss 5.736 (nce 5.579 id 0.390 orth 0.009 gate -0.007) | R@1 0.077 R@5 0.229 R@10 0.328
step  2300 | lr 3.00e-04 | loss 5.534 (nce 5.365 id 0.421 orth 0.009 gate -0.009) | R@1 0.074 R@5 0.213 R@10 0.323
step  2400 | lr 3.00e-04 | loss 5.803 (nce 5.643 id 0.398 orth 0.009 gate -0.010) | R@1 0.081 R@5 0.234 R@10 0.347
step  2500 | lr 3.00e-04 | loss 5.655 (nce 5.498 id 0.390 orth 0.009 gate -0.009) | R@1 0.083 R@5 0.229 R@10 0.333
step  2600 | lr 3.00e-04 | loss 5.614 (nce 5.454 id 0.397 orth 0.009 gate -0.004) | R@1 0.079 R@5 0.237 R@10 0.336
step  2700 | lr 3.00e-04 | loss 5.646 (nce 5.478 id 0.417 orth 0.009 gate -0.007) | R@1 0.089 R@5 0.246 R@10 0.353
step  2800 | lr 3.00e-04 | loss 5.765 (nce 5.605 id 0.397 orth 0.009 gate -0.009) | R@1 0.077 R@5 0.232 R@10 0.334
step  2900 | lr 3.00e-04 | loss 5.703 (nce 5.543 id 0.397 orth 0.009 gate -0.008) | R@1 0.078 R@5 0.222 R@10 0.332
step  3000 | lr 3.00e-04 | loss 5.716 (nce 5.555 id 0.399 orth 0.009 gate -0.004) | R@1 0.069 R@5 0.214 R@10 0.320
step  3100 | lr 3.00e-04 | loss 5.546 (nce 5.380 id 0.413 orth 0.009 gate -0.008) | R@1 0.069 R@5 0.225 R@10 0.332
step  3200 | lr 3.00e-04 | loss 5.658 (nce 5.500 id 0.394 orth 0.009 gate -0.004) | R@1 0.074 R@5 0.219 R@10 0.322
step  3300 | lr 3.00e-04 | loss 5.797 (nce 5.634 id 0.407 orth 0.009 gate -0.009) | R@1 0.074 R@5 0.229 R@10 0.349
step  3400 | lr 3.00e-04 | loss 5.675 (nce 5.510 id 0.412 orth 0.009 gate -0.007) | R@1 0.073 R@5 0.221 R@10 0.337
step  3500 | lr 3.00e-04 | loss 5.736 (nce 5.567 id 0.420 orth 0.009 gate -0.006) | R@1 0.079 R@5 0.225 R@10 0.335
step  3600 | lr 3.00e-04 | loss 5.841 (nce 5.677 id 0.407 orth 0.009 gate -0.004) | R@1 0.079 R@5 0.230 R@10 0.337
step  3700 | lr 3.00e-04 | loss 5.655 (nce 5.490 id 0.410 orth 0.009 gate -0.006) | R@1 0.081 R@5 0.238 R@10 0.336
step  3800 | lr 3.00e-04 | loss 5.591 (nce 5.418 id 0.432 orth 0.009 gate -0.006) | R@1 0.087 R@5 0.244 R@10 0.353
step  3900 | lr 3.00e-04 | loss 5.682 (nce 5.520 id 0.404 orth 0.009 gate -0.006) | R@1 0.080 R@5 0.236 R@10 0.344
step  4000 | lr 3.00e-04 | loss 5.671 (nce 5.505 id 0.412 orth 0.010 gate -0.005) | R@1 0.088 R@5 0.238 R@10 0.352
step  4100 | lr 3.00e-04 | loss 5.637 (nce 5.476 id 0.400 orth 0.009 gate -0.004) | R@1 0.089 R@5 0.245 R@10 0.359
step  4200 | lr 3.00e-04 | loss 5.714 (nce 5.542 id 0.427 orth 0.009 gate -0.005) | R@1 0.078 R@5 0.232 R@10 0.348
step  4300 | lr 3.00e-04 | loss 5.523 (nce 5.350 id 0.429 orth 0.009 gate -0.007) | R@1 0.077 R@5 0.232 R@10 0.341
step  4400 | lr 3.00e-04 | loss 5.609 (nce 5.429 id 0.449 orth 0.010 gate -0.008) | R@1 0.087 R@5 0.238 R@10 0.341
